Date;Hour;Power
2018-05-07;20:00:00;145.5
2018-05-07;21:00:00;153.25
2018-05-07;22:00:00;140.25
2018-05-07;23:00:00;123.5
2018-05-08;0:00:00;108.25
2018-05-08;1:00:00;91.25
2018-05-08;2:00:00;86.75
2018-05-08;3:00:00;86.5
2018-05-08;4:00:00;82.5
2018-05-08;5:00:00;85.75
2018-05-08;6:00:00;84.25
2018-05-08;7:00:00;104.0
2018-05-08;8:00:00;142.75
2018-05-08;9:00:00;145.25
2018-05-08;10:00:00;157.75
2018-05-08;11:00:00;148.5
2018-05-08;12:00:00;136.0
2018-05-08;13:00:00;137.0
2018-05-08;14:00:00;131.0
2018-05-08;15:00:00;126.25
2018-05-08;16:00:00;130.25
2018-05-08;17:00:00;127.75
2018-05-08;18:00:00;134.0
2018-05-08;19:00:00;142.5
2018-05-08;20:00:00;155.75
2018-05-08;21:00:00;145.25
2018-05-08;22:00:00;147.25
2018-05-08;23:00:00;140.25
2018-05-09;0:00:00;116.5
2018-05-09;1:00:00;91.5
2018-05-09;2:00:00;85.5
2018-05-09;3:00:00;85.25
2018-05-09;4:00:00;85.75
2018-05-09;5:00:00;84.5
2018-05-09;6:00:00;83.75
2018-05-09;7:00:00;115.25
2018-05-09;8:00:00;148.0
2018-05-09;9:00:00;143.5
2018-05-09;10:00:00;138.75
2018-05-09;11:00:00;136.75
2018-05-09;12:00:00;136.25
2018-05-09;13:00:00;144.75
2018-05-09;14:00:00;119.25
2018-05-09;15:00:00;122.25
2018-05-09;16:00:00;129.25
2018-05-09;17:00:00;120.75
2018-05-09;18:00:00;134.75
2018-05-09;19:00:00;149.75
2018-05-09;20:00:00;160.5
2018-05-09;21:00:00;161.5
2018-05-09;22:00:00;148.5
2018-05-09;23:00:00;135.0
2018-05-10;0:00:00;105.25
2018-05-10;1:00:00;93.25
2018-05-10;2:00:00;88.75
2018-05-10;3:00:00;85.75
2018-05-10;4:00:00;80.5
2018-05-10;5:00:00;80.25
2018-05-10;6:00:00;79.0
2018-05-10;7:00:00;107.5
2018-05-10;8:00:00;132.75
2018-05-10;9:00:00;133.0
2018-05-10;10:00:00;132.25
2018-05-10;11:00:00;136.5
2018-05-10;12:00:00;139.75
2018-05-10;13:00:00;137.5
2018-05-10;14:00:00;127.0
2018-05-10;15:00:00;135.25
2018-05-10;16:00:00;138.5
