speed,hourly_power,hour,Date
3.35,2.87,0,2010-01-01
2.88,1.97,1,2010-01-01
4.87,5.78,2,2010-01-01
4.1,4.31,3,2010-01-01
4.31,4.71,4,2010-01-01
2.06,0.4,5,2010-01-01
3.11,2.4,6,2010-01-01
2.33,0.91,7,2010-01-01
3.0,2.2,8,2010-01-01
3.25,2.67,9,2010-01-01
2.34,0.93,10,2010-01-01
3.75,3.64,11,2010-01-01
3.09,2.37,12,2010-01-01
2.51,1.26,13,2010-01-01
3.25,2.67,14,2010-01-01
5.09,6.2,15,2010-01-01
6.16,8.23,16,2010-01-01
5.25,6.51,17,2010-01-01
6.65,9.18,18,2010-01-01
5.86,7.67,19,2010-01-01
7.67,11.12,20,2010-01-01
7.5,10.81,21,2010-01-01
9.46,14.56,22,2010-01-01
9.23,14.12,23,2010-01-01
5.67,7.31,0,2010-01-02
10.66,16.85,1,2010-01-02
10.97,17.44,2,2010-01-02
11.18,17.5,3,2010-01-02
12.86,17.5,4,2010-01-02
11.88,17.5,5,2010-01-02
9.9,15.39,6,2010-01-02
10.0,15.59,7,2010-01-02
9.93,15.45,8,2010-01-02
7.98,11.72,9,2010-01-02
6.01,7.96,10,2010-01-02
5.02,6.05,11,2010-01-02
7.74,11.27,12,2010-01-02
7.46,10.72,13,2010-01-02
7.2,10.23,14,2010-01-02
6.18,8.29,15,2010-01-02
7.18,10.2,16,2010-01-02
8.52,12.76,17,2010-01-02
8.85,13.39,18,2010-01-02
8.82,13.34,19,2010-01-02
9.62,14.87,20,2010-01-02
9.13,13.92,21,2010-01-02
9.06,13.79,22,2010-01-02
9.99,15.57,23,2010-01-02
7.98,11.72,0,2010-01-03
7.9,11.58,1,2010-01-03
8.6,12.9,2,2010-01-03
8.31,12.36,3,2010-01-03
7.26,10.34,4,2010-01-03
6.71,9.29,5,2010-01-03
5.97,7.89,6,2010-01-03
7.61,11.01,7,2010-01-03
7.98,11.72,8,2010-01-03
8.24,12.21,9,2010-01-03
8.14,12.03,10,2010-01-03
8.16,12.07,11,2010-01-03
7.69,11.18,12,2010-01-03
9.17,13.99,13,2010-01-03
9.19,14.05,14,2010-01-03
7.7,11.2,15,2010-01-03
8.14,12.03,16,2010-01-03
8.67,13.05,17,2010-01-03
10.52,16.57,18,2010-01-03
9.91,15.41,19,2010-01-03
9.76,15.14,20,2010-01-03
2.58,1.4,21,2010-01-03
4.4,4.87,22,2010-01-03
4.35,4.78,23,2010-01-03
1.69,0.0,0,2010-01-04
2.48,1.2,1,2010-01-04
1.61,0.0,2,2010-01-04
1.79,0.0,3,2010-01-04
1.6,0.0,4,2010-01-04
1.45,0.0,5,2010-01-04
1.16,0.0,6,2010-01-04
1.27,0.0,7,2010-01-04
2.32,0.89,8,2010-01-04
2.07,0.42,9,2010-01-04
2.22,0.71,10,2010-01-04
1.8,0.0,11,2010-01-04
0.98,0.0,12,2010-01-04
0.61,0.0,13,2010-01-04
0.88,0.0,14,2010-01-04
1.11,0.0,15,2010-01-04
2.14,0.55,16,2010-01-04
3.32,2.82,17,2010-01-04
3.8,3.73,18,2010-01-04
3.82,3.76,19,2010-01-04
3.21,2.6,20,2010-01-04
5.79,7.54,21,2010-01-04
2.61,1.46,22,2010-01-04
5.63,7.23,23,2010-01-04
5.77,7.49,0,2010-01-05
4.88,5.8,1,2010-01-05
4.59,5.24,2,2010-01-05
3.18,2.55,3,2010-01-05
2.48,1.2,4,2010-01-05
2.37,0.99,5,2010-01-05
1.41,0.0,6,2010-01-05
2.56,1.37,7,2010-01-05
3.67,3.47,8,2010-01-05
4.34,4.76,9,2010-01-05
4.31,4.71,10,2010-01-05
4.41,4.89,11,2010-01-05
3.32,2.8,12,2010-01-05
2.28,0.82,13,2010-01-05
4.89,5.82,14,2010-01-05
7.29,10.4,15,2010-01-05
3.42,3.0,16,2010-01-05
7.46,10.72,17,2010-01-05
7.15,10.14,18,2010-01-05
7.02,9.89,19,2010-01-05
7.35,10.52,20,2010-01-05
4.57,5.2,21,2010-01-05
4.22,4.53,22,2010-01-05
4.28,4.66,23,2010-01-05
3.3,2.77,0,2010-01-06
3.9,3.93,1,2010-01-06
3.76,3.66,2,2010-01-06
3.72,3.58,3,2010-01-06
4.79,5.62,4,2010-01-06
3.94,4.0,5,2010-01-06
4.51,5.09,6,2010-01-06
3.91,3.95,7,2010-01-06
4.23,4.55,8,2010-01-06
4.91,5.85,9,2010-01-06
4.68,5.42,10,2010-01-06
4.76,5.56,11,2010-01-06
3.95,4.02,12,2010-01-06
3.25,2.67,13,2010-01-06
3.83,3.78,14,2010-01-06
2.02,0.33,15,2010-01-06
3.69,3.51,16,2010-01-06
3.71,3.57,17,2010-01-06
4.61,5.27,18,2010-01-06
1.82,0.0,19,2010-01-06
3.79,3.71,20,2010-01-06
5.65,7.27,21,2010-01-06
5.51,7.0,22,2010-01-06
4.46,5.0,23,2010-01-06
5.8,7.56,0,2010-01-07
5.1,6.22,1,2010-01-07
4.62,5.29,2,2010-01-07
4.61,5.27,3,2010-01-07
4.43,4.93,4,2010-01-07
4.11,4.33,5,2010-01-07
5.3,6.6,6,2010-01-07
6.2,8.32,7,2010-01-07
6.21,8.34,8,2010-01-07
6.1,8.13,9,2010-01-07
6.57,9.03,10,2010-01-07
7.15,10.14,11,2010-01-07
6.78,9.43,12,2010-01-07
7.69,11.18,13,2010-01-07
10.25,16.06,14,2010-01-07
10.91,17.34,15,2010-01-07
11.02,17.5,16,2010-01-07
10.89,17.28,17,2010-01-07
9.83,15.26,18,2010-01-07
11.29,17.5,19,2010-01-07
9.37,14.37,20,2010-01-07
9.02,13.72,21,2010-01-07
8.31,12.36,22,2010-01-07
9.58,14.79,23,2010-01-07
10.15,15.88,0,2010-01-08
8.08,11.92,1,2010-01-08
9.0,13.67,2,2010-01-08
10.32,16.19,3,2010-01-08
10.49,16.52,4,2010-01-08
7.78,11.34,5,2010-01-08
9.13,13.92,6,2010-01-08
8.61,12.92,7,2010-01-08
6.51,8.91,8,2010-01-08
2.61,1.46,9,2010-01-08
4.42,4.91,10,2010-01-08
4.12,4.35,11,2010-01-08
4.43,4.93,12,2010-01-08
4.44,4.95,13,2010-01-08
5.68,7.33,14,2010-01-08
7.12,10.09,15,2010-01-08
10.97,17.44,16,2010-01-08
11.62,17.5,17,2010-01-08
11.21,17.5,18,2010-01-08
12.3,17.5,19,2010-01-08
11.22,17.5,20,2010-01-08
10.41,16.37,21,2010-01-08
5.52,7.02,22,2010-01-08
6.68,9.23,23,2010-01-08
7.18,10.2,0,2010-01-09
8.27,12.29,1,2010-01-09
9.43,14.5,2,2010-01-09
8.35,12.43,3,2010-01-09
9.66,14.94,4,2010-01-09
8.87,13.43,5,2010-01-09
7.3,10.41,6,2010-01-09
7.86,11.49,7,2010-01-09
10.01,15.61,8,2010-01-09
8.33,12.39,9,2010-01-09
8.78,13.25,10,2010-01-09
11.38,17.5,11,2010-01-09
3.32,2.8,12,2010-01-09
7.7,11.2,13,2010-01-09
8.43,12.58,14,2010-01-09
9.68,14.97,15,2010-01-09
8.93,13.54,16,2010-01-09
7.89,11.56,17,2010-01-09
10.15,15.88,18,2010-01-09
9.47,14.57,19,2010-01-09
9.78,15.17,20,2010-01-09
9.22,14.1,21,2010-01-09
7.03,9.91,22,2010-01-09
5.81,7.58,23,2010-01-09
5.48,6.94,0,2010-01-10
6.3,8.51,1,2010-01-10
5.4,6.78,2,2010-01-10
7.04,9.92,3,2010-01-10
7.1,10.03,4,2010-01-10
7.67,11.12,5,2010-01-10
7.45,10.7,6,2010-01-10
8.47,12.67,7,2010-01-10
6.91,9.67,8,2010-01-10
7.2,10.23,9,2010-01-10
6.88,9.61,10,2010-01-10
9.69,14.99,11,2010-01-10
10.61,16.75,12,2010-01-10
9.18,14.01,13,2010-01-10
9.86,15.32,14,2010-01-10
10.1,15.77,15,2010-01-10
10.9,17.32,16,2010-01-10
10.19,15.96,17,2010-01-10
12.5,17.5,18,2010-01-10
8.91,13.5,19,2010-01-10
11.49,17.5,20,2010-01-10
11.05,17.5,21,2010-01-10
10.88,17.26,22,2010-01-10
13.41,17.5,23,2010-01-10
13.38,17.5,0,2010-01-11
14.11,17.5,1,2010-01-11
14.12,17.5,2,2010-01-11
12.87,17.5,3,2010-01-11
11.36,17.5,4,2010-01-11
7.18,10.2,5,2010-01-11
2.87,1.95,6,2010-01-11
5.32,6.64,7,2010-01-11
5.39,6.76,8,2010-01-11
8.15,12.05,9,2010-01-11
7.33,10.49,10,2010-01-11
6.21,8.34,11,2010-01-11
5.91,7.76,12,2010-01-11
5.85,7.65,13,2010-01-11
6.42,8.74,14,2010-01-11
5.93,7.8,15,2010-01-11
0.94,0.0,16,2010-01-11
1.48,0.0,17,2010-01-11
2.25,0.77,18,2010-01-11
9.59,14.81,19,2010-01-11
8.55,12.81,20,2010-01-11
8.86,13.41,21,2010-01-11
9.8,15.21,22,2010-01-11
8.41,12.54,23,2010-01-11
6.45,8.8,0,2010-01-12
6.62,9.12,1,2010-01-12
6.95,9.76,2,2010-01-12
4.77,5.58,3,2010-01-12
4.5,5.07,4,2010-01-12
4.86,5.76,5,2010-01-12
2.8,1.82,6,2010-01-12
4.65,5.36,7,2010-01-12
7.34,10.51,8,2010-01-12
6.3,8.51,9,2010-01-12
7.71,11.21,10,2010-01-12
5.41,6.82,11,2010-01-12
6.36,8.63,12,2010-01-12
6.6,9.09,13,2010-01-12
5.9,7.74,14,2010-01-12
9.1,13.87,15,2010-01-12
8.45,12.63,16,2010-01-12
7.84,11.45,17,2010-01-12
8.17,12.09,18,2010-01-12
9.93,15.45,19,2010-01-12
11.47,17.5,20,2010-01-12
8.02,11.79,21,2010-01-12
5.56,7.09,22,2010-01-12
4.37,4.82,23,2010-01-12
3.87,3.86,0,2010-01-13
3.87,3.86,1,2010-01-13
5.58,7.13,2,2010-01-13
8.23,12.19,3,2010-01-13
6.92,9.69,4,2010-01-13
3.69,3.51,5,2010-01-13
5.24,6.49,6,2010-01-13
4.16,4.42,7,2010-01-13
4.95,5.93,8,2010-01-13
4.63,5.31,9,2010-01-13
4.21,4.51,10,2010-01-13
4.66,5.38,11,2010-01-13
2.76,1.75,12,2010-01-13
4.08,4.26,13,2010-01-13
4.56,5.18,14,2010-01-13
6.36,8.63,15,2010-01-13
5.81,7.58,16,2010-01-13
5.37,6.73,17,2010-01-13
7.46,10.72,18,2010-01-13
6.01,7.96,19,2010-01-13
8.36,12.45,20,2010-01-13
7.06,9.96,21,2010-01-13
6.92,9.69,22,2010-01-13
5.65,7.27,23,2010-01-13
7.52,10.85,0,2010-01-14
7.3,10.43,1,2010-01-14
9.02,13.72,2,2010-01-14
6.29,8.49,3,2010-01-14
3.32,2.82,4,2010-01-14
3.67,3.47,5,2010-01-14
5.72,7.4,6,2010-01-14
2.96,2.13,7,2010-01-14
5.53,7.04,8,2010-01-14
4.44,4.95,9,2010-01-14
4.16,4.42,10,2010-01-14
5.78,7.53,11,2010-01-14
5.51,7.0,12,2010-01-14
4.54,5.15,13,2010-01-14
4.78,5.6,14,2010-01-14
6.24,8.4,15,2010-01-14
6.18,8.29,16,2010-01-14
5.73,7.42,17,2010-01-14
4.8,5.64,18,2010-01-14
4.24,4.56,19,2010-01-14
4.18,4.46,20,2010-01-14
4.51,5.09,21,2010-01-14
4.11,4.33,22,2010-01-14
3.84,3.8,23,2010-01-14
3.1,2.38,0,2010-01-15
4.44,4.95,1,2010-01-15
4.37,4.82,2,2010-01-15
3.96,4.04,3,2010-01-15
4.46,5.0,4,2010-01-15
6.51,8.91,5,2010-01-15
7.34,10.51,6,2010-01-15
7.58,10.96,7,2010-01-15
9.08,13.83,8,2010-01-15
10.46,16.46,9,2010-01-15
10.34,16.25,10,2010-01-15
8.97,13.61,11,2010-01-15
9.0,13.68,12,2010-01-15
9.0,13.67,13,2010-01-15
9.41,14.47,14,2010-01-15
9.64,14.9,15,2010-01-15
9.28,14.21,16,2010-01-15
9.53,14.68,17,2010-01-15
10.4,16.35,18,2010-01-15
9.52,14.67,19,2010-01-15
9.17,13.99,20,2010-01-15
8.4,12.52,21,2010-01-15
7.33,10.49,22,2010-01-15
6.7,9.27,23,2010-01-15
7.5,10.81,0,2010-01-16
7.49,10.78,1,2010-01-16
7.94,11.65,2,2010-01-16
8.33,12.39,3,2010-01-16
8.72,13.14,4,2010-01-16
9.23,14.12,5,2010-01-16
8.79,13.27,6,2010-01-16
11.45,17.5,7,2010-01-16
12.36,17.5,8,2010-01-16
11.71,17.5,9,2010-01-16
10.46,16.46,10,2010-01-16
9.79,15.19,11,2010-01-16
8.68,13.07,12,2010-01-16
7.28,10.38,13,2010-01-16
2.89,1.98,14,2010-01-16
5.27,6.54,15,2010-01-16
8.49,12.7,16,2010-01-16
8.2,12.14,17,2010-01-16
7.38,10.58,18,2010-01-16
7.87,11.5,19,2010-01-16
6.54,8.96,20,2010-01-16
7.71,11.21,21,2010-01-16
7.3,10.41,22,2010-01-16
4.49,5.05,23,2010-01-16
4.61,5.27,0,2010-01-17
3.85,3.82,1,2010-01-17
4.08,4.27,2,2010-01-17
6.1,8.13,3,2010-01-17
7.55,10.9,4,2010-01-17
7.94,11.65,5,2010-01-17
8.1,11.96,6,2010-01-17
6.86,9.58,7,2010-01-17
7.37,10.56,8,2010-01-17
6.89,9.63,9,2010-01-17
6.93,9.72,10,2010-01-17
6.3,8.51,11,2010-01-17
6.8,9.47,12,2010-01-17
7.64,11.07,13,2010-01-17
7.7,11.2,14,2010-01-17
7.07,9.98,15,2010-01-17
8.24,12.21,16,2010-01-17
7.21,10.25,17,2010-01-17
6.64,9.16,18,2010-01-17
8.18,12.1,19,2010-01-17
7.3,10.43,20,2010-01-17
8.47,12.67,21,2010-01-17
6.88,9.61,22,2010-01-17
6.66,9.2,23,2010-01-17
6.55,9.0,0,2010-01-18
7.43,10.67,1,2010-01-18
7.26,10.34,2,2010-01-18
6.57,9.03,3,2010-01-18
7.25,10.32,4,2010-01-18
6.68,9.23,5,2010-01-18
6.72,9.31,6,2010-01-18
6.73,9.34,7,2010-01-18
5.97,7.89,8,2010-01-18
5.19,6.38,9,2010-01-18
5.63,7.23,10,2010-01-18
5.51,7.0,11,2010-01-18
5.93,7.8,12,2010-01-18
6.64,9.16,13,2010-01-18
6.92,9.71,14,2010-01-18
7.76,11.3,15,2010-01-18
7.11,10.07,16,2010-01-18
9.4,14.45,17,2010-01-18
7.77,11.32,18,2010-01-18
6.45,8.8,19,2010-01-18
6.42,8.74,20,2010-01-18
5.48,6.94,21,2010-01-18
3.32,2.82,22,2010-01-18
1.98,0.24,23,2010-01-18
1.35,0.0,0,2010-01-19
2.23,0.73,1,2010-01-19
2.06,0.4,2,2010-01-19
1.47,0.0,3,2010-01-19
1.77,0.0,4,2010-01-19
2.56,1.35,5,2010-01-19
2.96,2.13,6,2010-01-19
2.96,2.13,7,2010-01-19
3.23,2.64,8,2010-01-19
3.89,3.89,9,2010-01-19
1.25,0.0,10,2010-01-19
1.72,0.0,11,2010-01-19
5.18,6.36,12,2010-01-19
5.39,6.76,13,2010-01-19
6.65,9.18,14,2010-01-19
7.42,10.65,15,2010-01-19
8.45,12.63,16,2010-01-19
6.9,9.65,17,2010-01-19
6.53,8.94,18,2010-01-19
8.47,12.67,19,2010-01-19
8.68,13.07,20,2010-01-19
10.11,15.79,21,2010-01-19
10.63,16.79,22,2010-01-19
10.74,17.01,23,2010-01-19
11.19,17.5,0,2010-01-20
11.87,17.5,1,2010-01-20
12.37,17.5,2,2010-01-20
11.14,17.5,3,2010-01-20
10.46,16.46,4,2010-01-20
9.99,15.57,5,2010-01-20
9.36,14.36,6,2010-01-20
8.74,13.18,7,2010-01-20
8.29,12.32,8,2010-01-20
8.13,12.01,9,2010-01-20
7.85,11.47,10,2010-01-20
7.81,11.4,11,2010-01-20
8.44,12.59,12,2010-01-20
8.95,13.58,13,2010-01-20
8.93,13.54,14,2010-01-20
10.31,16.17,15,2010-01-20
11.21,17.5,16,2010-01-20
8.64,12.99,17,2010-01-20
9.0,13.67,18,2010-01-20
7.12,10.09,19,2010-01-20
7.36,10.54,20,2010-01-20
7.42,10.65,21,2010-01-20
8.05,11.85,22,2010-01-20
6.59,9.07,23,2010-01-20
3.53,3.22,0,2010-01-21
4.1,4.31,1,2010-01-21
5.39,6.76,2,2010-01-21
5.01,6.04,3,2010-01-21
3.23,2.64,4,2010-01-21
1.48,0.0,5,2010-01-21
1.48,0.0,6,2010-01-21
1.63,0.0,7,2010-01-21
3.51,3.18,8,2010-01-21
4.27,4.64,9,2010-01-21
3.83,3.78,10,2010-01-21
3.45,3.06,11,2010-01-21
4.11,4.33,12,2010-01-21
4.33,4.75,13,2010-01-21
4.42,4.91,14,2010-01-21
3.9,3.93,15,2010-01-21
4.69,5.44,16,2010-01-21
5.47,6.93,17,2010-01-21
6.05,8.03,18,2010-01-21
6.62,9.12,19,2010-01-21
7.08,10.0,20,2010-01-21
7.88,11.54,21,2010-01-21
7.35,10.52,22,2010-01-21
6.24,8.4,23,2010-01-21
6.85,9.56,0,2010-01-22
6.92,9.69,1,2010-01-22
6.46,8.82,2,2010-01-22
7.05,9.94,3,2010-01-22
6.3,8.51,4,2010-01-22
6.86,9.58,5,2010-01-22
5.69,7.34,6,2010-01-22
4.22,4.53,7,2010-01-22
4.99,6.0,8,2010-01-22
5.85,7.65,9,2010-01-22
5.97,7.89,10,2010-01-22
6.01,7.96,11,2010-01-22
6.54,8.98,12,2010-01-22
6.85,9.56,13,2010-01-22
8.23,12.19,14,2010-01-22
7.82,11.41,15,2010-01-22
6.57,9.03,16,2010-01-22
6.16,8.25,17,2010-01-22
6.02,7.98,18,2010-01-22
5.38,6.74,19,2010-01-22
4.51,5.09,20,2010-01-22
5.29,6.58,21,2010-01-22
4.73,5.51,22,2010-01-22
4.52,5.11,23,2010-01-22
2.56,1.37,0,2010-01-23
1.97,0.22,1,2010-01-23
2.54,1.31,2,2010-01-23
3.97,4.06,3,2010-01-23
3.93,3.98,4,2010-01-23
3.54,3.24,5,2010-01-23
3.23,2.64,6,2010-01-23
3.6,3.35,7,2010-01-23
4.26,4.6,8,2010-01-23
4.68,5.42,9,2010-01-23
5.07,6.16,10,2010-01-23
4.85,5.75,11,2010-01-23
6.05,8.03,12,2010-01-23
6.09,8.11,13,2010-01-23
7.53,10.87,14,2010-01-23
8.26,12.27,15,2010-01-23
8.31,12.36,16,2010-01-23
7.97,11.7,17,2010-01-23
6.81,9.49,18,2010-01-23
10.63,16.79,19,2010-01-23
10.87,17.25,20,2010-01-23
12.24,17.5,21,2010-01-23
10.81,17.14,22,2010-01-23
8.47,12.67,23,2010-01-23
10.81,17.14,0,2010-01-24
9.68,14.97,1,2010-01-24
7.44,10.69,2,2010-01-24
7.11,10.07,3,2010-01-24
6.32,8.54,4,2010-01-24
1.34,0.0,5,2010-01-24
2.93,2.06,6,2010-01-24
3.36,2.89,7,2010-01-24
5.04,6.11,8,2010-01-24
5.77,7.49,9,2010-01-24
3.15,2.49,10,2010-01-24
4.56,5.18,11,2010-01-24
5.9,7.74,12,2010-01-24
5.97,7.87,13,2010-01-24
4.78,5.6,14,2010-01-24
4.4,4.87,15,2010-01-24
4.53,5.13,16,2010-01-24
4.91,5.85,17,2010-01-24
4.58,5.22,18,2010-01-24
4.64,5.33,19,2010-01-24
2.72,1.66,20,2010-01-24
2.66,1.55,21,2010-01-24
5.82,7.6,22,2010-01-24
5.49,6.96,23,2010-01-24
2.94,2.08,0,2010-01-25
2.55,1.33,1,2010-01-25
1.74,0.0,2,2010-01-25
0.87,0.0,3,2010-01-25
2.7,1.62,4,2010-01-25
4.28,4.66,5,2010-01-25
5.46,6.91,6,2010-01-25
6.77,9.42,7,2010-01-25
9.18,14.01,8,2010-01-25
7.6,11.0,9,2010-01-25
6.67,9.22,10,2010-01-25
6.23,8.38,11,2010-01-25
6.16,8.23,12,2010-01-25
7.78,11.34,13,2010-01-25
6.79,9.45,14,2010-01-25
7.13,10.11,15,2010-01-25
8.39,12.5,16,2010-01-25
8.11,11.98,17,2010-01-25
10.48,16.5,18,2010-01-25
10.5,16.54,19,2010-01-25
8.96,13.59,20,2010-01-25
10.1,15.77,21,2010-01-25
10.27,16.1,22,2010-01-25
8.81,13.3,23,2010-01-25
9.61,14.85,0,2010-01-26
7.1,10.03,1,2010-01-26
5.84,7.63,2,2010-01-26
8.64,12.99,3,2010-01-26
6.11,8.14,4,2010-01-26
8.61,12.92,5,2010-01-26
5.88,7.71,6,2010-01-26
6.82,9.51,7,2010-01-26
5.75,7.45,8,2010-01-26
5.23,6.47,9,2010-01-26
4.75,5.55,10,2010-01-26
4.04,4.18,11,2010-01-26
2.44,1.13,12,2010-01-26
5.14,6.29,13,2010-01-26
4.8,5.64,14,2010-01-26
3.2,2.58,15,2010-01-26
3.18,2.55,16,2010-01-26
2.52,1.28,17,2010-01-26
1.94,0.17,18,2010-01-26
1.28,0.0,19,2010-01-26
2.76,1.75,20,2010-01-26
3.07,2.33,21,2010-01-26
2.51,1.26,22,2010-01-26
2.94,2.08,23,2010-01-26
3.06,2.31,0,2010-01-27
1.87,0.04,1,2010-01-27
0.76,0.0,2,2010-01-27
1.86,0.02,3,2010-01-27
4.26,4.6,4,2010-01-27
4.36,4.8,5,2010-01-27
4.93,5.89,6,2010-01-27
5.89,7.73,7,2010-01-27
5.71,7.38,8,2010-01-27
5.97,7.89,9,2010-01-27
7.4,10.61,10,2010-01-27
8.64,12.99,11,2010-01-27
9.92,15.43,12,2010-01-27
14.29,17.5,13,2010-01-27
13.02,17.5,14,2010-01-27
12.73,17.5,15,2010-01-27
16.51,17.5,16,2010-01-27
17.26,17.5,17,2010-01-27
16.5,17.5,18,2010-01-27
15.61,17.5,19,2010-01-27
15.63,17.5,20,2010-01-27
12.48,17.5,21,2010-01-27
11.76,17.5,22,2010-01-27
12.62,17.5,23,2010-01-27
10.95,17.41,0,2010-01-28
7.37,10.56,1,2010-01-28
5.92,7.78,2,2010-01-28
7.35,10.52,3,2010-01-28
9.18,14.01,4,2010-01-28
9.02,13.72,5,2010-01-28
9.8,15.21,6,2010-01-28
10.14,15.85,7,2010-01-28
8.19,12.12,8,2010-01-28
8.24,12.21,9,2010-01-28
6.3,8.51,10,2010-01-28
5.63,7.23,11,2010-01-28
6.12,8.16,12,2010-01-28
7.89,11.56,13,2010-01-28
7.5,10.81,14,2010-01-28
6.29,8.49,15,2010-01-28
5.58,7.13,16,2010-01-28
10.14,15.85,17,2010-01-28
7.21,10.25,18,2010-01-28
6.25,8.42,19,2010-01-28
7.18,10.2,20,2010-01-28
8.53,12.78,21,2010-01-28
9.96,15.52,22,2010-01-28
9.6,14.83,23,2010-01-28
8.93,13.54,0,2010-01-29
9.35,14.34,1,2010-01-29
5.41,6.82,2,2010-01-29
7.1,10.03,3,2010-01-29
3.89,3.91,4,2010-01-29
5.31,6.62,5,2010-01-29
4.04,4.18,6,2010-01-29
5.13,6.27,7,2010-01-29
3.4,2.97,8,2010-01-29
4.36,4.8,9,2010-01-29
4.21,4.51,10,2010-01-29
3.79,3.71,11,2010-01-29
5.02,6.07,12,2010-01-29
3.92,3.96,13,2010-01-29
3.7,3.55,14,2010-01-29
3.73,3.6,15,2010-01-29
4.23,4.55,16,2010-01-29
2.9,2.0,17,2010-01-29
2.48,1.2,18,2010-01-29
8.04,11.83,19,2010-01-29
6.6,9.09,20,2010-01-29
5.57,7.11,21,2010-01-29
7.31,10.45,22,2010-01-29
5.72,7.4,23,2010-01-29
3.59,3.33,0,2010-01-30
6.61,9.11,1,2010-01-30
4.45,4.96,2,2010-01-30
3.85,3.82,3,2010-01-30
5.45,6.89,4,2010-01-30
3.88,3.87,5,2010-01-30
4.98,5.98,6,2010-01-30
4.1,4.31,7,2010-01-30
3.85,3.82,8,2010-01-30
1.33,0.0,9,2010-01-30
0.54,0.0,10,2010-01-30
4.4,4.87,11,2010-01-30
4.02,4.15,12,2010-01-30
5.05,6.13,13,2010-01-30
5.61,7.2,14,2010-01-30
6.8,9.47,15,2010-01-30
6.65,9.18,16,2010-01-30
6.53,8.94,17,2010-01-30
7.2,10.23,18,2010-01-30
7.7,11.2,19,2010-01-30
7.9,11.58,20,2010-01-30
7.31,10.45,21,2010-01-30
5.78,7.51,22,2010-01-30
6.3,8.51,23,2010-01-30
7.18,10.2,0,2010-01-31
6.31,8.52,1,2010-01-31
8.25,12.23,2,2010-01-31
7.3,10.41,3,2010-01-31
7.59,10.98,4,2010-01-31
9.0,13.68,5,2010-01-31
8.91,13.5,6,2010-01-31
9.97,15.54,7,2010-01-31
10.65,16.83,8,2010-01-31
10.12,15.81,9,2010-01-31
10.74,17.01,10,2010-01-31
11.71,17.5,11,2010-01-31
11.43,17.5,12,2010-01-31
9.04,13.76,13,2010-01-31
5.91,7.76,14,2010-01-31
6.13,8.18,15,2010-01-31
6.42,8.74,16,2010-01-31
4.6,5.25,17,2010-01-31
6.2,8.32,18,2010-01-31
8.38,12.49,19,2010-01-31
6.48,8.85,20,2010-01-31
9.11,13.88,21,2010-01-31
6.21,8.34,22,2010-01-31
6.65,9.18,23,2010-01-31
5.29,6.58,0,2010-02-01
6.21,8.34,1,2010-02-01
6.32,8.54,2,2010-02-01
5.46,6.91,3,2010-02-01
5.44,6.87,4,2010-02-01
5.47,6.93,5,2010-02-01
4.09,4.29,6,2010-02-01
4.46,5.0,7,2010-02-01
5.23,6.47,8,2010-02-01
5.17,6.34,9,2010-02-01
6.31,8.52,10,2010-02-01
5.43,6.85,11,2010-02-01
5.79,7.54,12,2010-02-01
4.63,5.31,13,2010-02-01
5.85,7.65,14,2010-02-01
8.83,13.36,15,2010-02-01
9.06,13.79,16,2010-02-01
8.41,12.54,17,2010-02-01
7.52,10.85,18,2010-02-01
9.12,13.9,19,2010-02-01
7.22,10.27,20,2010-02-01
7.28,10.38,21,2010-02-01
3.67,3.47,22,2010-02-01
5.09,6.2,23,2010-02-01
3.62,3.38,0,2010-02-02
3.17,2.53,1,2010-02-02
4.53,5.13,2,2010-02-02
4.66,5.38,3,2010-02-02
2.84,1.89,4,2010-02-02
3.41,2.98,5,2010-02-02
3.89,3.91,6,2010-02-02
4.21,4.51,7,2010-02-02
4.2,4.49,8,2010-02-02
3.87,3.86,9,2010-02-02
4.06,4.22,10,2010-02-02
4.19,4.47,11,2010-02-02
3.1,2.38,12,2010-02-02
3.52,3.2,13,2010-02-02
4.47,5.02,14,2010-02-02
4.83,5.69,15,2010-02-02
4.35,4.78,16,2010-02-02
4.72,5.49,17,2010-02-02
3.29,2.75,18,2010-02-02
1.77,0.0,19,2010-02-02
1.36,0.0,20,2010-02-02
1.91,0.11,21,2010-02-02
1.94,0.17,22,2010-02-02
2.49,1.22,23,2010-02-02
1.95,0.19,0,2010-02-03
6.18,8.29,1,2010-02-03
3.54,3.24,2,2010-02-03
4.65,5.36,3,2010-02-03
3.48,3.11,4,2010-02-03
5.13,6.27,5,2010-02-03
5.06,6.14,6,2010-02-03
4.27,4.64,7,2010-02-03
3.74,3.62,8,2010-02-03
3.43,3.02,9,2010-02-03
4.35,4.78,10,2010-02-03
4.76,5.56,11,2010-02-03
4.54,5.15,12,2010-02-03
2.94,2.08,13,2010-02-03
3.64,3.42,14,2010-02-03
5.73,7.42,15,2010-02-03
6.54,8.98,16,2010-02-03
10.32,16.19,17,2010-02-03
10.43,16.41,18,2010-02-03
8.81,13.3,19,2010-02-03
10.35,16.26,20,2010-02-03
10.9,17.32,21,2010-02-03
9.06,13.79,22,2010-02-03
10.25,16.06,23,2010-02-03
9.65,14.92,0,2010-02-04
9.31,14.27,1,2010-02-04
10.18,15.94,2,2010-02-04
9.97,15.54,3,2010-02-04
10.35,16.26,4,2010-02-04
8.41,12.54,5,2010-02-04
